nct_id,brief_title,official_title,overall_status,start_date,study_type,phases,enrollment_count,enrollment_type,sponsor_name,sponsor_class,collaborator_count,conditions,intervention_types,intervention_names,allocation,intervention_model,masking,primary_purpose,sex,minimum_age,maximum_age,healthy_volunteers,eligibility_criteria,location_count,countries,brief_summary,primary_outcome_measures,search_query_source
NCT01403285,Peptide-based Glioma Vaccine IMA950 in Patients With Glioblastoma,A Phase 1 Trial of Peptide-Based Glioma Vaccine IMA950 in Patients With Glioblastoma (GBM),TERMINATED,2011-08,INTERVENTIONAL,PHASE1,6.0,ACTUAL,Immatics Biotechnologies GmbH,INDUSTRY,1,Glioblastoma,BIOLOGICAL|DRUG,Cyclophosphamide|IMA950 plus GM-CSF|IMA950|Imiquimod,NA,SINGLE_GROUP,NONE,TREATMENT,ALL,18 Years,,False,"DISEASE CHARACTERISTICS:

* Histologically proven glioblastoma
* Stable disease following ≥ 4 cycles of adjuvant temozolomide
* No progression or recurrence of disease

PATIENT CHARACTERISTICS:

* HLA-A\*02 positive
* ≥ 18 years old
* Life expectancy \> 8 weeks
* Karnofsky performance status ≥ 60
* WBC \>3,500/µL
* ALC \>350/mm3
* ANC \>1,500/mm3
* Platelet count \>100,000/mm3
* Hemoglobin \>10gm/dL
* AST, ALT and alkaline phosphatase \<2.5 times upper limit of normal (ULN)
* Bilirubin \<1.5 times ULN
* Creatinine \<1.5 mg/dL and/or creatinine clearance \>60cc/min
* Serum potassium, magnesium and calcium within normals levels (supplementation is allowed)
* Not pregnant or nursing
* Negative pregnancy test
* Practice birth control during and for 2 months after treatment with IMA950 (both genders)
* Women of childbearing age must agree to use adequate contraceptive methods
* No significant active hepatic, renal, infectious or psychiatric disease
* No HIV, active hepatitis infection, or any other active severe infectious disease
* No history of autoimmune disease or immunosuppression
* No clinically significant cardiovascular event within 3 months before study entry or an increased risk for ventricular arrhythmia
* No malignancy other than glioblastoma that required treatment during the last 12 months

PRIOR and/or CONCURRENT THERAPY:

* See Disease Characteristics
* Completed radiotherapy and at least 4 cycles of adjuvant temozolomide
* Not be receiving steroids OR be on stable dose of steroids for ≥ 5 days prior to registration
* No other prior immunotherapy for glioblastoma
* No major surgery within 4 weeks prior to treatment start
* At least 4 weeks from cytotoxic therapies (incl. temozolomide)
* At least 2 weeks from non-cytotoxic therapies (e.g. interferon, tamoxifen)
* At least 3 weeks from bevacizumab
* No current treatment with imiquimod; prior use of imiquimod is allowed",1,United States,"BACKGROUND: Active immunotherapy of cancer is based on the premise that the vaccine raises a cytotoxic immune response to tumor-associated antigens, thereby destroying malignant cells without harming normal cells.

IMA950 is a therapeutic multi-peptide vaccine containing 11 tumor-associated peptides (TUMAPs) found in a majority of glioblastomas, and is designed to activate TUMAP-specific T cells. The use of 11 TUMAPs increases the likelihood of a multi-clonal, highly specific T-cell response against tumor cells leading to decreased likelihood of immune evasion of the tumor by down-regulation of target antigens.

PURPOSE: The primary objective of this study is to determine the safety and tolerability of IMA950 when given with cyclophosphamide, granulocyte macrophage-colony stimulating factor (GM-CSF) and imiquimod in patients with glioblastoma and to determine if IMA950 shows sufficient immunogenicity in these patients.

ELIGIBILITY: Patients with histologically proven GBMs who have completed radiotherapy, and have stable disease following at least 4 cycles of adjuvant temozolomide.",Safety and tolerability of IMA950 administered with granulocyte macrophage colony stimulating factor (GM-CSF) and topical imiquimod together following a single low-dose application of cyclophosphamide.|Immunogenicity of IMA950,cancer
NCT02294058,Study of Ozanimod (RPC1063) in Relapsing Multiple Sclerosis (MS),"A Phase 3, Multi-Center, Randomized, Double-Blind, Double-Dummy, Active Controlled, Parallel Group Study To Evaluate The Efficacy And Safety Of RPC1063 Administered Orally To Relapsing Multiple Sclerosis Patients",COMPLETED,2014-12-03,INTERVENTIONAL,PHASE3,1346.0,ACTUAL,Celgene,INDUSTRY,0,Multiple Sclerosis,DRUG,Ozanimod|Interferon beta-1a|Placebo to ozanimod|Placebo to interferon beta-1a,RANDOMIZED,PARALLEL,QUADRUPLE,TREATMENT,ALL,18 Years,55 Years,False,"Inclusion Criteria:

* Multiple sclerosis as diagnosed by the revised 2010 McDonald criteria
* EDSS score between 0 and 5.0 at baseline

Exclusion Criteria:

• Primary progressive multiple sclerosis",224,Belarus|Bosnia and Herzegovina|Bulgaria|Canada|Croatia|Czechia|Estonia|Georgia|Germany|Hungary|Latvia|Lithuania|Moldova|Netherlands|New Zealand|Poland|Portugal|Romania|Russia|Serbia|Spain|Sweden|Ukraine|United Kingdom|United States,The purpose of this study is to determine whether ozanimod is effective in the treatment of relapsing multiple sclerosis (RMS).,Adjusted Annualized Relapse Rate (ARR) During the Treatment Period,multiple sclerosis
NCT01001234,A Study to Evaluate the Efficacy and Tolerability of Rizatriptan for Treatment of Acute Migraine in Children and Adolescents (MK-0462-082 AM7),"A Worldwide, Randomized, Double Blind, Placebo-Controlled, Parallel Group Clinical Trial to Evaluate the Safety and Efficacy of Rizatriptan for the Acute Treatment of Migraine in Children and Adolescents",COMPLETED,2009-11-30,INTERVENTIONAL,PHASE3,1382.0,ACTUAL,Organon and Co,INDUSTRY,0,"Migraine, Acute",DRUG,rizatriptan|placebo|rizatriptan|placebo,RANDOMIZED,PARALLEL,TRIPLE,TREATMENT,ALL,6 Years,17 Years,False,"Inclusion Criteria:

* Patient weighs at least 20 kg (44 pounds)
* Patient has had a history of migraine with or without aura \> 6 months with \>= 1 to \<= 8 moderate or severe migraine attacks per month in the 2 months prior to screening Visit 1
* Patient has a history of migraine defined by International Headache Society (IHS) migraine definitions
* Patient is willing to stay awake for at least 2 hours after administration of the first dose of study medication
* Patient has not experienced satisfactory relief from migraine pain with nonsteroidal anti-inflammatory drugs (NSAIDs) or N-acetyl-p-aminophenol (APAP) treatment
* The parent or guardian and patient agree to the patient's participation in the study as indicated by parental/guardian signature on the consent form and

patient assent

\- For patients taking migraine prophylactic medication, treatment regimen is stable and has been taken for at least 3 months prior to Visit 1.

Exclusion Criteria:

* Patient is pregnant or breast-feeding, or is a female expecting to conceive within the projected duration of study participation
* Patient has a history of mild migraine attacks or migraines that resolve in less than 2 hours
* Patient has basilar or hemiplegic migraine headaches
* Patient has \>15 headache-days per month OR has taken medication for acute

headache on more than 10 days per month in any of the 3 months prior to screening

* Patient has uncontrolled high blood pressure, uncontrolled diabetes, human immunodeficiency virus (HIV), any

cancer, or any other significant disease

* Patient has a history or clinical evidence of cardiovascular problems or stroke
* Patient has either demonstrated hypersensitivity to or experienced a serious

adverse event in response to rizatriptan

* Patient did not experience satisfactory relief from migraine pain to prior treatment with 2 or more adequate courses of 5-hydroxytryptamine 1 (5HT1) agonists
* Patient has a recent history (within the past year) or current evidence of drug or alcohol abuse or is a ""recreational user"" of illicit drugs
* Patient is currently taking monoamine oxidase inhibitors, methysergide, selective serotonin reuptake inhibitors (SSRIs) or serotonin norepinephrine reuptake inhibitors (SNRIs) or propranolol, and is unable to tolerate withdrawal of these medications for the intervals required
* Patient is currently participating or has participated in a study with an

investigational compound or device within 30 days of screening

\- Patient is legally or mentally incapacitated.",0,,This Clinical Trial evaluates the Safety and Efficacy of Rizatriptan for the Acute Treatment of Migraine in Children and Adolescents.,Pain Freedom at 2 Hours Post Dose in Participants Between 12 and 17 Years of Age,migraine
NCT00790400,Efficacy and Safety of RAD001 in Patients Aged 18 and Over With Angiomyolipoma Associated With Either Tuberous Sclerosis Complex (TSC) or Sporadic Lymphangioleiomyomatosis (LAM),"A Randomized, Double-blind, Placebo-controlled Study of RAD0001 in the Treatment of Angiomyolipoma in Patients With Either Tuberous Sclerosis Complex (TSC) or Sporadic Lymphangioleiomyomatosis (LAM)",COMPLETED,2009-04,INTERVENTIONAL,PHASE3,118.0,ACTUAL,Novartis Pharmaceuticals,INDUSTRY,0,Tuberous Sclerosis Complex (TSC)|Lymphangioleiomyomatosis (LAM),DRUG,Everolimus (RAD001)|Everolimus Placebo,RANDOMIZED,PARALLEL,QUADRUPLE,TREATMENT,ALL,18 Years,,False,"Inclusion Criteria:

* Male or Female 18 years or older
* Clinically definite diagnosis of Tuberous Sclerosis Complex according to the modified Gomez criteria or sporadic LAM (biopsy-proven or compatible chest CT scan)
* Clinically definite diagnosis of renal angiomyolipoma
* At least one Angiomyolipoma of ≥ 3 cm in its longest diameter using CT or MRI
* Females of child bearing potential must use birth control and have documentation of negative pregnancy test
* Written informed consent according to local guidelines

Exclusion Criteria:

* Recent heart attack, cardiac related chest pain or stroke
* Severely impaired lung function
* Bleeding related to angiomyolipoma or embolization during 6 months prior to randomization
* Clinically significant chylous ascites
* Clinically significant hematological or hepatic abnormality
* Severe liver dysfunction
* Severe kidney dysfunction
* Pregnancy or breast feeding
* Current infection
* History of organ transplant
* Surgery within two months prior to study enrollment
* Prior therapy with a medication in the same class as Everolimus
* Recent use of an investigational drug
* Bleeding diathesis or on oral anti-vitamin K medication
* Uncontrolled high cholesterol
* Uncontrolled diabetes
* HIV
* Inability to attend scheduled clinic visits
* Patients with metal implants thus prohibiting MRI evaluations
* Angiomyolipoma which requires surgery at the time of randomization
* History of malignancy
* Severe or uncontrolled medical conditions which would cause an unacceptable safety risk or compromise compliance with the protocol",25,Canada|France|Germany|Italy|Japan|Netherlands|Poland|Russia|Spain|United Kingdom|United States,This study will evaluate the safety and efficacy of RAD001 in treating patients with Angiomyolipoma associated with Tuberous Sclerosis Complex or Sporadic Lymphangioleiomyomatosis.,Angiomyolipoma Response Rate as Per Central Radiology Review,epilepsy
NCT02363751,Study of Gemcitabine+Platinum Salt+Bevacizumab Combination for Metastatic Collecting Duct Carcinoma (GETUG-AFU 24),Prospective Phase II Study of Gemcitabine Plus Platinum Salt in Combination With Bevacizumab (Avastin®) for Metastatic Collecting Duct Carcinoma,COMPLETED,2014-12,INTERVENTIONAL,PHASE2,36.0,ACTUAL,UNICANCER,OTHER,0,Collecting Duct Carcinoma (Kidney),DRUG,Bevacizumab,NA,SINGLE_GROUP,NONE,TREATMENT,ALL,18 Years,,False,"Inclusion Criteria:

1. Patients should be aged ≥18 years at the inclusion,
2. Patients with histologically confirmed metastatic collecting duct carcinoma (medullary accepted),
3. Available tumor samples for centralized reading by anatomopathologist,
4. Patients with or without nephrectomy,
5. At least one measurable lesion as per response evaluation criteria in solid tumors version 1.1 (RECIST v1.1),
6. No prior chemotherapy nor anti-angiogenic drugs ; Prior adjuvant chemotherapy of localised disease admitted if it is stopped for more than 12 months at the inclusion date.,
7. No irradiation within 4 weeks before inclusion,
8. Absolute neutrophil counts (ANC) ≥1.5 x 10⁹/L,
9. Platelets ≥100 x 10⁹/L,
10. Hemoglobin ≥9 g/dL,
11. Hepatic function : AST and ALT ≤1.5 x ULN (≤4 x ULN in case of liver metastases); total bilirubin ≤1.5 x ULN; alkaline phosphatase \<2 x ULN (≤4 x ULN in case of bone metastases),
12. Renal function : creatinine clearance ≥60 mL/min (MDRD calculation method) using cis-platin and \>30 mL/min when using carboplatin,
13. Absence of proteinuria at baseline defined by \<0.3 g of protein on urine sample or \<0.5 g/24h on urine collection,
14. Prothrombin time (TP) or partial thromboplastin time (PTT) strictly less than 50% deviation from normal limits, of international normalized ratio (INR) strictly below 2, Note: The use of full-dose oral or parenteral anticoagulants as well as aspirin or clopidogrel is permitted as long as the INR or a PTT is within therapeutic limits (according to the medical standard of the institution) and the patient has been on a stable dose of anticoagulants for at least two weeks at the time of study enrolment. Prophylactic use of anticoagulants is allowed.
15. ECG with normal or clinically insignificant as per investigator's judgement sinus rhythm,
16. ECOG Performance Status: 0 - 2,
17. Estimated life expectancy ≥12 weeks,
18. Patients who have received the information sheet, dated and signed the informed consent form,
19. Patient of child-bearing potential (for female patient: study entry after a menstrual period and a negative pregnancy test) must agree to use two medically acceptable methods of contraception (one for the patient and one for the partner) during the study and for 6 months after the last study treatment intake.
20. Patients must be willing and able to comply with scheduled visits, treatment plan, laboratory tests and other study procedures,
21. Patients affiliated to the Social Security System,

Exclusion Criteria:

1. Treatment with any other investigational agent, or participation in another clinical trial within 28 days prior to enrolment,
2. Prior systemic treatment with chemotherapy or anti-angiogenic tyrosine kinase inhibitors such as axitinib, sunitinib, sorafenib, pazopanib, tivozanib, mTOR inhibitor (Temsirolimus or everolimus) and targeted VEGF drugs such as bevacizumab and VEGF trap,
3. Evidence of current spinal cord compression or leptomeningeal disease. Please note that patients with asymptomatic brain metastases are eligible,
4. Another histological type of renal cancer
5. Other malignancy within 3 years prior to inclusion (except basal cell carcinoma of the skin and/or in situ carcinoma of the cervix, and/or pT1/a bladder cancer),
6. Uncontrolled hypertension (≥160 mm Hg systolic and/or ≥90 mm Hg diastolic) while receiving medication,
7. Cardio-vascular disorders: congestive heart failure ≥ NYHA II, myocardial infarction or coronary artery bypass graft in the previous six months, ongoing severe or unstable angina,
8. LVEF value strictly less than 50%,
9. Current or recent (within 2 weeks of study enrolment) initiation of aspirin, clopidogrel), oral or parenteral anticoagulants or thrombolytic agents for therapeutic purposes,
10. History of clinically significant hemorrhagic or thromboembolic events in the past six months, or known inherited predisposition to bleeding or thrombosis or History of abdominal fistula, GI perforation, intra-abdominal abscess or active GI bleeding within 6 months prior to the first study treatment; History of haemoptysis ≥ grade 2 (defined as ≥2.5 mL bright red blood per episode) within 1 month of study enrolment,
11. Patients who underwent, according to the investigator, a significant surgery such as but not limited to , abdominal, thoracic or neurologic surgery within 28 days before the first treatment administration or patient with a wound that is not already healed at the first treatment administration or patients who underwent a minor surgical procedure including placement of a vascular access device, within 2 days of the first study treatment,
12. Patients with active gastro-duodenal ulcer,
13. Patients with untreated bone fracture,
14. Peripheral neuropathy grade ≥2 (Toxicity Criteria-(CTCAE) v4.0),
15. Patients with active infection requiring intravenous antibiotics at the time of first study treatment,
16. In the opinion of the investigator, any evidence of other severe or uncontrolled systemic disease (e.g. unstable or uncompensated respiratory, cardiac, hepatic or renal disease), or any other acute or chronic medical condition that would make the patient inappropriate with this study,
17. Immunocompromised patients, including known seropositivity for human immunodeficiency virus (HIV),
18. Known hypersensitivity to any component of the investigational drugs or excipients,
19. Pregnant or lactating women,
20. Person deprived of their liberty or under judicial protection (including guardianship),
21. Patients with significantly altered mental status prohibiting the understanding of the study or with psychological, familial, sociological or geographical condition potentially hampering compliance with the study protocol and follow-up schedule or any condition which, in the opinion of the investigator, would preclude participation in this trial. Those conditions should be discussed with the patient before registration in the trial.",19,France,"Open-label, non-randomized, multicenter, phase II, single arm non comparative trial evaluating toxicity and efficacy of gemcitabine plus platinum salt in combination with bevacizumab in first-line setting in metastatic collecting duct carcinoma.",Composite endpoint : Objective response rate / Progression-free survival,kidney disease
NCT00617747,Efficacy and Tolerability of Zolmitriptan Nasal Spray,"A Multicenter, Randomized, Placebo-Controlled, Double-Blind, Parallel Group Trial to Evaluate Early Efficacy and Tolerability of Zolmitriptan (ZOMIG) Nasal Spray in the Acute Treatment of Adult Subjects With Migraine.",COMPLETED,2002-09,INTERVENTIONAL,PHASE3,2114.0,ACTUAL,AstraZeneca,INDUSTRY,0,Migraine,DRUG,Zolmitriptan|Placebo,RANDOMIZED,PARALLEL,TRIPLE,TREATMENT,ALL,18 Years,65 Years,False,"Inclusion Criteria:

* Subject has an established diagnosis of migraine headache, with or without aura
* Subject has a medical history indicating the presence of migraine attacks for at least 1 year before the start of the trial or a minimum of 2 and maximum of 6 migraine attacks per month on average for 3 months preceding the study
* Subject has non migraine headaches on fewer than 6 days each month for 3 months preceding the study

Exclusion Criteria:

* Subject has history of basilar, ophthalmoplegic or hemiplegic migraine or serious neurologic condition associated with headache
* Subject has used a MAOI within 2 weeks of randomisation or has been given SSRI therapy or migraine prophylactic agent within 3 months of randomisation. Subject requires treatment with propranolol or cimetidine or has had an intolerable or serious adverse event while using another triptan
* Subject has a history or symptoms suggestive of ischemic heart disease, coronary artery vasospasm or other significant underlying cardiovascular disease or clinically significant abnormalities seen on an ECG or uncontrolled hypertension",0,,"The purpose of this study is to evaluate the effectiveness and tolerability (the ability not to experience ill effects from the study drug) of a zolmitriptan nasal spray, 5.0 mg, compared with placebo (inactive drug) for 2 migraine headaches for up to 12 weeks in adult subjects with migraine headaches",Improvement in migraine headache pain from severe or moderate to mild or none,migraine
NCT07353216,Exploring the Efficacy and Safety of Ofatumumab in Patients With Relapsing Multiple Sclerosis (RMS) and Its Impact on Serum Neurofilament Light Chain (sNfL) Levels,"Exploring the Efficacy and Safety of Ofatumumab in Patients With Relapsing Multiple Sclerosis (RMS) and Its Impact on Serum Neurofilament Light Chain (sNfL) Levels：A Multicenter, Open-Label, Observational Real-World Study",RECRUITING,2023-12-01,OBSERVATIONAL,,80.0,ESTIMATED,"Third Affiliated Hospital, Sun Yat-Sen University",OTHER,2,Multiple Sclerosis,DRUG,Ofatumumab,,,,,ALL,18 Years,,False,"Inclusion Criteria:Signed and dated informed consent must be obtained before participation in the study.

Any gender, aged at least 18 years at the time of study enrollment (signing the informed consent form).

Patients with RMS meeting the 2017 Revised McDonald Criteria. EDSS score between 0 and 7. Regular follow-up with MRI monitoring. Willingness to provide blood samples. Willingness to undergo clinical assessments (including scales and physical examinations).

\-

Exclusion Criteria:Decision by the subject/legal guardian . Pregnancy. Diagnosis of Progressive Multifocal Leukoencephalopathy (PML). Hypersensitivity reaction to the investigational drug. Protocol violation that poses a significant safety risk to the subject. Occurrence of certain adverse events, such as malignancy, hepatic failure, or severe chronic infections (e.g., active hepatitis B, HIV).

Any laboratory abnormality that, considering the subject's overall condition, is deemed to prevent the subject's continued participation in the study.

Any condition that may pose a safety risk due to participation in the study. Non-compliance with the administration of the investigational drug or study procedures

\-",1,China,"Multiple sclerosis (MS) is an immune-mediated disease characterized primarily by inflammatory demyelinating lesions in the central nervous system (CNS), with the white matter being predominantly affected. Its etiology remains unclear and may be associated with various factors such as genetics, environment, and viral infections . Pathologically, MS presents as multiple demyelinating lesions in the CNS, which may be accompanied by damage to nerve cells and their axons. Lesions on MRI show characteristic distributions, morphologies, and signal intensities . MS typically onset in young adults and is more common in women. Frequent symptoms include visual decline, diplopia, limb sensory disturbances, limb motor impairment, ataxia, and bladder or rectal dysfunction . As MS can lead to varying degrees of neurological deficits, and repeated relapses result in disability progression, it impacts patients' normal lives and work, posing a significant burden on individuals, families, and society. Considerable progress has been made in MS treatment in recent years, with agents such as teriflunomide, fingolimod, siponimod, and dimethyl fumarate having been approved for marketing in China.

In the two concurrently conducted active-comparator trials, ASCLEPIOS I and II, involving patients with relapsing multiple sclerosis, the annualized relapse rate was significantly lower in the ofatumumab group compared to the teriflunomide group. Ofatumumab was also superior to teriflunomide in suppressing MRI lesion activity . Although the aforementioned studies have confirmed the clinical efficacy of ofatumumab in treating MS, data from Chinese populations are lacking. Its clinical effectiveness, safety, and optimal treatment timing require further support from real-world evidence.

Exploring more indicators to predict MS disease activity and progression is crucial for identifying high-risk patients, assessing prognosis, and evaluating treatment response. Neurofilament light chain (NfL) is a specific biomarker for neuroaxonal damage, released into the cerebrospinal fluid (CSF) and serum after axonal injury . Serum and CSF NfL concentrations are highly correlated. Numerous studies in recent years have shown that high sNfL levels are associated with active T2 lesions and relapses, as well as brain volume loss. sNfL can not only monitor disease activity and treatment response at the group level in MS patients but also predict disease course, making it a valuable biomarker for predicting MS relapses and disability progression. It helps identify patients at higher risk of future disease activity and assists in clinical decision-making. Previous data from ASCLEPIOS I and II demonstrated that ofatumumab significantly reduced sNfL concentrations at the first assessment (Month 3) and at all subsequent visits in patients with RMS . However, existing studies have not included data from Chinese populations. This study aims to address this data gap for this specific population.",Ofatumumab treatment reduces sNfL levels in patients with Relapsing Multiple Sclerosis,multiple sclerosis
NCT05290740,Two Norepinephrine Rescue Bolus Doses for Management of Severe Post-spinal Hypotension During Elective Cesarean Delivery,"Comparison of Two Norepinephrine Rescue Bolus Doses for Management of Severe Post-spinal Hypotension During Elective Cesarean Delivery: A Randomized, Controlled Trial",COMPLETED,2022-03-11,INTERVENTIONAL,PHASE4,158.0,ACTUAL,Kasr El Aini Hospital,OTHER,0,Postspinal Hypotension|Cesarean Delivery|Norepinephrine,DRUG,Norepinephrine 5 mcg|Norepinephrine 10 mcg,RANDOMIZED,PARALLEL,QUADRUPLE,TREATMENT,FEMALE,18 Years,40 Years,False,"Inclusion Criteria:

* full-term singleton pregnant women
* American society of anesthesiologist physical status of I or II,
* scheduled for elective cesarean delivery

Exclusion Criteria:

* Patients with uncontrolled cardiac morbidities (patients with tight valvular lesion, impaired contractility with ejection fraction \< 50%, heart block, and arrhythmias),
* hypertensive disorders of pregnancy,
* peripartum bleeding, coagulation disorders (patients with INR \>1.4 and or platelet count \< 80000 /dL) or
* any contraindication to regional anesthesia, and
* baseline systolic blood pressure (SBP) \< 100 mmHg",1,Egypt,"Maternal hypotension after spinal block is a common complication after subarachnoid block in this population whose incidence reached 60% in many reports. Hypotension is associated with maternal and neonatal complications; therefore, it is highly recommended to use vasopressors, prophylactically and interactively, for prompt control maternal blood pressure. Despite the presence of various preventive regimens (fluid loading, maternal positioning, and vasopressors), many mothers develop intraoperative episodes of hypotension which requires the use of a vasopressor bolus.

Norepinephrine (NE) is an alpha adrenergic agonist with weak beta adrenergic agonistic activity; and is increasingly used in obstetric anesthesia with acceptable maternal and neonatal outcomes. NE bolus could be used for rapid correction of maternal blood pressure in a dose which variedranged between 3.7-10 mcg. Till date, al the available data for the management of maternal hypotension did not differentiate between severe and non-severe hypotension. The incidence of severe maternal hypotension (systolic blood pressure ≤60% of baseline) ranged between 7-20%. In a recent report, Hassabelnaby et al compared 6 mcg and 10 mcg NE boluses in management of maternal hypotension and found that the doses had the same success rate (≈90%); however, most of the participants in the mentioned study had non-severe hypotension. Therefore, we hypothesize that severe hypotension should be separately investigated for the possible superiority of the higher over the lower dose of NE bolus.

Insufficient NE bolus would lead to failed management and prolonged hypotensive episode, whereas a higher dose might lead to reactive hypertension and/or bradycardia, which is sometimes severe. Therefore, determining the optimum dose for NE bolus would enable proper control of maternal hemodynamic profile",incidence of successful management of severe post-spinal hypotension,heart disease
NCT01199744,Relenza® Sentinel Site Monitoring Program in Japan,Collection of Patients' Background InformationRelenza® Sentinel Site Monitoring Program in Japan,COMPLETED,2009-11,OBSERVATIONAL,,1575.0,ACTUAL,GlaxoSmithKline,INDUSTRY,0,"Influenza, Human",DRUG,zanamivir,,,,,ALL,,,False,"Inclusion Criteria:

Prescribed Relenza® for the purpose of either treatment or prophylaxis of influenza

Exclusion Criteria:

N/A",0,,"To collect background information of patients receiving a prescription for Relenza® and study risk factors etc. for adverse drug reactions collected through spontaneous reporting. In particular, to characterize the types and incidences of adverse events, serious adverse events, and adverse drug reactions and to investigate risk factors for them in patient populations that are regarded to be at high risk for novel influenza A (H1N1)and in which the use experience of Relenza® has not been enough (such as pregnant women, infants, elderly persons, and those with decreased physical function) in accordance with the PFSB/SD Notification 0904, No.2 of the Safety Division, Pharmaceutical and Food Safety Bureau, MHLW, dated 4th September 2009.

To compare the data with the safety data collected in overseas sentinel site monitoring programs.",Number of Participants With Any Adverse Drug Reaction,asthma
NCT02128178,Laparoscopic Bariatric Surgery: Two Regimens of Venous Thromboprophylaxis: Prospective Randomized Study,Laparoscopic Bariatric Surgery: Two Regimens of Venous Thromboprophylaxis: Prospective Randomized Study,UNKNOWN,2013-11,INTERVENTIONAL,PHASE1|PHASE2,700.0,ESTIMATED,Mansoura University,OTHER,0,Morbid Obesity|Pulmonary Embolism,DRUG,Enoxaparin 40 mg 2 hours before arm|Enoxaparin 40 mg 12 hours before arm,RANDOMIZED,PARALLEL,DOUBLE,PREVENTION,ALL,,,True,"Inclusion Criteria:

* BMI \>40 OR \>35 with comorbidities

Exclusion Criteria:

* No",1,Egypt,"Obese patients undergoing bariatric surgery warrant VTE prophylaxis because they are at high risk for developing a fatal pulmonary embolism or postthrombotic syndrome. However, a consensus does not exist on the most effective prophylactic approach.",Venous thrombosis and/or pulmonary embolism (PE),obesity
