nct_id,brief_title,official_title,overall_status,study_type,phases,enrollment_count,enrollment_type,sponsor_name,sponsor_class,collaborator_count,conditions,intervention_types,intervention_names,allocation,intervention_model,masking,primary_purpose,sex,minimum_age,maximum_age,healthy_volunteers,eligibility_criteria,location_count,countries,brief_summary,primary_outcome_measures
NCT01669538,Effect of Galantamine on Short-term Abstinence,Repurposing Cholinesterase Inhibitors for Smoking Cessation.,COMPLETED,INTERVENTIONAL,PHASE2,98.0,ACTUAL,University of Pennsylvania,OTHER,4,Tobacco Use Disorder,DRUG,Galantamine|Placebo,RANDOMIZED,PARALLEL,TRIPLE,TREATMENT,ALL,18 Years,60 Years,False,"Inclusion Criteria:

1. Smokers who are between 18 and 60 years of age who self-report smoking at least 10 cigarettes (menthol and non-menthol) per day for at least the last 6 months.
2. Interest in quitting smoking in the next 2 to 6 months.
3. Healthy as determined by the Study Physician, based on a medical evaluation including medical history and physical examination, and psychiatric evaluation.
4. Capable of giving written informed consent, which includes compliance with the requirements and restrictions listed in the combined consent and HIPAA form.
5. Women of childbearing potential must consent to use a medically accepted method of birth control while participating in the study (e.g., condoms and spermicide, oral contraceptive, Depo-provera injection, contraceptive patch, tubal ligation).

Exclusion Criteria:

1. Smoking behavior

   1. Use of chewing tobacco, snuff, and/or snus.
   2. Current enrollment in a smoking cessation program, or use of other smoking cessation medications in the last month or plans to do either in the next 2 months.
   3. Provide a carbon monoxide (CO) breath sample reading less than 10 parts per million (ppm) at either the Intake or Baseline visits.
2. Alcohol/Drugs

   1. Lifetime history of substance abuse (other than nicotine) and/or currently receiving treatment for substance abuse (e.g., alcohol, opioids, cocaine, stimulants, PCP, benzodiazepines, or study-prohibited medications/recreational drugs) as determined by self-report during the phone screen and/or through the MINI during the Intake visit.
   2. Current alcohol consumption that exceeds 25 standard drinks/week over the past 6 months.
   3. Providing a breath alcohol concentration (BrAC) reading of greater than or equal to 0.01 at the Intake, Baseline, or Testing Days.
   4. A positive urine drug screen for cocaine, amphetamines, methamphetamines, benzodiazepines, PCP, methadone, barbiturates, and opiates at the Intake visit, Baseline visit, or the Testing days.
3. Medical

   1. Women who are pregnant, planning a pregnancy in the next 3 months, or lactating; all female subjects shall undergo a urine pregnancy test at the Intake visit and must agree in writing to use an approved method of contraception. Following enrollment, pregnancy tests will be conducted at the Baseline visit and Testing days for all female subjects of child-bearing potential.
   2. Diagnosis of Alzheimer's Disease or dementia.
   3. Current treatment of cancer or diagnosed with cancer (except basal cell carcinoma) in the past 6 months.
   4. Liver/kidney failure, peptic ulcer disease, benign prostate hypertrophy.
   5. Asthma or chronic obstructive pulmonary disease (COPD).
   6. History (last 6 months) of abnormal heart rhythms, tachycardia and/or cardiovascular disease (stroke, angina, heart attack). These conditions will be evaluated on a case by case basis by the Study Physician/Health Care Provider.
   7. Serious or unstable disease within the past 6 months, as determined by the Study Physician/Health Care Provider.
   8. Clinically significant abnormalities within physical examination and vital signs at Medical Screen. Abnormalities will be assessed by the Study Physician/Health Care Provider and eligibility will be determined on a case-by-case basis.
   9. Any impairment (physical and/or neurological) including visual or other impairment preventing cognitive task performance.
   10. Uncontrolled high blood pressure (Systolic BP greater than 160 and/or Diastolic BP greater than 100).
   11. Hearing impairment, significant hearing loss (more than 20% in either ear), cochlear implants, or bi-lateral hearing aids.
   12. History of brain injury.
   13. History of epilepsy or a seizure disorder.
   14. Color Blindness.
   15. Low or borderline intellectual functioning - determined by receiving a score of less than 90 on the Shipley Institute of Living Scale (SILS) which correlates with the Wechsler Adult Intelligence Scale-Revised (WAIS-R) Estimated IQ Test (administered at the Intake visit).
4. Psychiatric Exclusions (determined by self-report on phone screen and/or through the MINI during the Intake visit)

   1. Current diagnosis of major depression. Persons with a history of major depression, in remission for 6 months or longer, are eligible, provided they are not excluded based on medications (below).
   2. Suicide risk score on MINI greater than 0.
   3. History or current diagnosis of schizophrenia, psychosis, and/or bipolar disorder.
   4. Current or past hypomanic/manic episode.
   5. Current or history of a diagnosis of Attention-Deficit/Hyperactivity Disorder (ADHD).
5. Medication

   1. Current use, recent discontinuation (within the last month) of any form of smoking cessation medications (i.e., Zyban, Wellbutrin, Wellbutrin SR, Chantix, nicotine replacement therapy).
   2. Current use or recent discontinuation (within the last 60 days) of any of the following:

      * Anti-anxiety or panic disorder medications.
      * Anti-psychotic medications.
      * Mood-stabilizers (e.g., Lithium, Lamictal/lamotrigine, Neurontin/gabapentin, Topamax/topiramate, valproic acid, Tegretol/carbamazepine).
      * Anti-depressants (e.g., Wellbutrin, MAOIs, SSRIs, tricyclic antidepressants).
      * Prescription stimulants (e.g., Provigil, Ritalin, Adderall).
      * Systemic Steroids (e.g., Prednisone).
      * Alzheimer's disease medications (e.g., Acetylcholinesterase inhibitors (ACIs), Aricept/donepezil, Exelon/rivastigmine, Tacrine, or memantine).
      * Parkinson's disease medications(e.g., Cogentin/benztropine).
      * Irritable bowel syndrome medication (e.g., Dicylomine/Bentyl).
      * Heart medications (e.g., quinidine or Procardia/nifedipine).
      * Peptic ulcer disease medication (e.g, Zantac/ranitidine).
      * Muscle relaxants (e.g., Soma/carisoprodol, Anectine/succinylcholine).
      * Anti-fungal medication (e.g., Nizoral/ketoconazole).
      * Anti-seizure medications (e.g., Ativan, Banzel, Carbatrol, Dilantin, Lamictal, Gabitril, Lyrica, Neurontin, Tegretol, Topamax).
      * COPD medication (e.g., Atrovent/Ipratropium Bromide).
      * Urinary retention medications (e.g., Duvoid/bethanechol, Proscar/finasteride, Avodart/dutasteride, Dibenzyline/phenoxybenzamine, Regitine/phentolamine).
      * Eye medication (e.g., Atropine).
   3. Daily use of any of the following:

      * Opiate-containing medications for chronic pain (Duragesic/fentanyl patches, Percocet, Oxycontin).
      * Medication for asthma (albuterol, Serevent, Combivent, Advair, Flovent, Azmacort, Symbicort).
   4. Known drug allergy to the study medication.

   Subjects will be instructed to refrain from using any study prohibited drugs/medications (both recreational and prescription) throughout their participation in the study. After final eligibility is confirmed, subjects who report taking contraindicated medication(s) over the course of the study period may only remain eligible if the Study Physician and/or Principal Investigator determines that the contraindicated medication(s) do/did not impact the study design, data quality, and/or subject safety/welfare. Subjects are permitted to take necessary prescription medications not included within the exclusion list during the study.
6. General exclusions

   1. Current, anticipated, or pending enrollment in another research program over the next 2-3 months that could potentially affect subject safety and/or the study data/design as determined by the Principal Investigator and/or Study Physician.
   2. Not planning to live in the area for the next two months.
   3. Any medical condition, illness, disorder, or concomitant medication that could compromise participant safety or treatment, as determined by the Principal Investigator and/or Study Physician.
   4. Inability to provide informed consent or complete any of the study tasks as determined by the Principal Investigator.
   5. Completion of neurocognitive assessments and/or use of study medication(s) at the CIRNA in the past 6-months that could influence performance on study tasks as determined by the Principal Investigator.
   6. Not able to effectively communicate in English (reading, writing, speaking).
   7. Missing 2 or more consecutive sessions, or 3 or more sessions during the medication period.
   8. Missing 2 or more consecutive doses during the medication period.
   9. Missing 3 or more doses throughout the medication period.",1,United States,"This is a randomized, double-blind, placebo-controlled study to test whether a medication called galantamine (Brand Name: Razadyne) will help smokers quit and whether it reduces cognitive problems that smokers experience during a quit attempt.",Total Number of Smoke-free Days (Biochemically Verified) During a 7-day Quit Attempt.
NCT00005660,"The Evaluation of Oral Acitretin in the Treatment of Psoriasis, Cutaneous Disorders of Keratinization, Multiple Basal Cell Carcinomas and Other Retinoid Responsive Diseases","The Evaluation of Oral Acitretin in the Treatment of Psoriasis, Cutaneous Disorders of Keratinization, Multiple Basal Cell Carcinomas and Other Retinoid Responsive Diseases",COMPLETED,OBSERVATIONAL,,130.0,,National Cancer Institute (NCI),NIH,0,Basal Cell Carcinoma|Keratosis Palmaris et Plantaris|Psoriasis,,,,,,,ALL,,,False,"Patients with widespread involvement (e.g. psoriasis patients with 10 percent or more of body surface area involved) or with severe, recalcitrant localized involvement with a cutaneous disorder (e.g. keratoderma palmaris et plantaris).

Patients (and parents of patients who are less than 18 years old) must be advised of presently available alternative forms of therapy.

Patient must be available for and agreeable to regular follow up examinations in the clinic for clinical evaluation, blood tests, diagnostic x-rays and possibly skin biopsies.

The patient (and parent, guardian, or surrogate where appropriate) must give written informed consent after protocol, including its limitations and risks, are thoroughly discussed with the patients (and parents).

Patients who have multiple skin cancers because of xeroderma pigmentosum (XP).

No patients with persistently abnormal (SGOT or SGPT greater than 3 times the upper limit of normal) liver function tests.

No patients with persistent pre-treatment hypertriglyceridemia (greater than 300 mg/dl).

No patients with persistently abnormal (creatinine greater than 3 times the upper limit of normal) renal function tests.

No patients with presence of a significant neurological, musculoskeletal or other internal medical disorder which may be aggravated by the addition of retinoid therapy.

Patient must not be pregnant or anticipate such an event. Because of the long-term storage of etretinate, a known teratogen, fertile women who may be treated in this protocol, must have skin disease that is severe and recalcitrant to all other standard modalities. These women must also use an effective form of contraception (oral contraceptives or an intrauterine device) while on treatment and at least for 3 years post treatment.

No patients with chronic intake of excessive dietary vitamin A (more than 25,000 iu/day).",1,United States,"This is a continuing study which evaluates the long-term safety and efficacy of oral acitretin in an open manner in the treatment of psoriasis, cutaneous disorders of keratinization, multiple basal cell carcinomas and other retinoid responsive diseases.",
NCT06387420,A Study of AK117 in Combination With Azactidine Plus Venetoclax in Patients With Acute Myeloid Leukemia,A Phase 1b/2 Study of AK117 (Anti-CD47 Antibody) in Combination With Azactidine Plus Venetoclax in Patients With Acute Myeloid Leukemia,NOT_YET_RECRUITING,INTERVENTIONAL,PHASE1|PHASE2,180.0,ESTIMATED,Akeso,INDUSTRY,0,ACUTE MYELOID LEUKEMIA; AML,DRUG|OTHER,AK117|Azacitidine|Venetoclax|Placebo,RANDOMIZED,PARALLEL,QUADRUPLE,TREATMENT,ALL,18 Years,,False,"Inclusion Criteria:

* Age ≥ 18 years old at the time of enrolment.
* Has an Eastern Cooperative Oncology Group (ECOG) performance status of 0\~3, and 0\~2 are required for subjects ≥75 years old.
* Has a life expectancy of at least 12 weeks.
* Diagnosed as AML diagnosed according to WHO 2022 criteria.
* Has adequate organ function.
* All female and male subjects of reproductive potential must agree to use an effective method of contraception, as determined by the Investigator, during and for 120 days after the last dose of study treatment.

Exclusion Criteria:

* Diagnosed with acute promyelocytic leukemia, BCR-ABL1-positive AML, myeloid sarcoma, mixed phenotype acute leukemia (MPAL), accelerated phase or blast crisis of Chronic Myeloid Leukemia.
* has central nervous system leukemia (CNSL).
* Favorable risk cytogenetics such as t(8;21), inv(16) or t(16;16) or t(15;17) as per the National Comprehensive Cancer Network (NCCN) Guidelines Version 6, 2023 for AML.
* Previously diagnosed with another malignancy or have any evidence of residual disease.
* Previous allogeneic hematopoietic stem cell transplant (allo-HSCT).
* Prior treatment with any B-cell lymphoma 2 (Bcl-2) inhibitors, anti-CD47 or anti-SIRPα (signal regulatory protein alpha) agent.
* Use strong or moderate cytochrome P450 (CYP) 3A inducers systemically within one week prior to enrollment, or currently require long-term treatment with a moderate to strong CYP3A inducer.
* Previously diagnosed with MDS and treated with demethylating drugs.
* Patients with known cardiopulmonary disease defined as unstable angina, clinically significant arrhythmia, congestive heart failure (New York Heart Association Class III or IV), decompensated cirrhosis, nephrotic syndrome, uncontrolled metabolic disorders.
* Other conditions where the investigator considers the patient inappropriate for enrollment.",1,China,"This is a phase 1b/2 study. All patients are diagnosed with Acute Myeloid Leukemia (AML), Eastern Cooperative Oncology Group (ECOG) performance status 0-3. The purpose of this study is to evaluate the safety and efficacy of AK117 + azacitidine + venetoclax in subjects with AML.",Phase 1b: Number of participants with dose limiting toxicity (DLT)|Phase 1b/2: Number of participants with adverse events (AEs)|Phase 1b/2: Composite complete remission rate (CCR)
NCT01608711,A Study of AGS-1C4D4 in Pancreatic Cancer Subjects Previously Treated in Protocol 2008002,An Open-Label Phase 2 Study of AGS-1C4D4 in Pancreatic Cancer Subjects Previously Treated in Protocol 2008002,COMPLETED,INTERVENTIONAL,PHASE2,2.0,ACTUAL,"Agensys, Inc.",INDUSTRY,0,"Pancreatic Cancer|Carcinoma, Pancreatic Ductal|Pancreatic Disease",BIOLOGICAL,AGS-1C4D4|gemcitabine,NA,SINGLE_GROUP,NONE,TREATMENT,ALL,18 Years,,False,"Inclusion Criteria:

* Subject has stable disease or better per Response Evaluation Criteria in Solid Tumors (RECIST) criteria v.1.1. in Protocol 2008002

Exclusion Criteria:

* More than 6 weeks (2 doses) has lapsed from the time of the last infusion in AGS-1C4D4 Protocol 2008002
* Use of the following prohibited medications / therapies:

  * Monoclonal antibody therapy, other than AGS-1C4D4
  * Chemotherapy, other than gemcitabine
  * Investigational therapy other than AGS-1C4D4
  * Erlotinib (Tarceva)
* Any clinical condition which would not allow safe conduct of this study",2,Canada|United States,The purpose of this study is to continue the safety and immunogenicity of AGS-1C4D4 administered in combination with gemcitabine in subjects previously treated in protocol 2008002.,Incidence of adverse events|Incidence of anti-AGS-1C4D4 antibody formation
NCT03218163,MEDI-551 as Maintenance Therapy After Allogeneic Stem Cell Transplant in Multiple Myeloma,A Phase II Study of MEDI-551 as Maintenance Therapy After Allogeneic Stem Cell Transplant in Patients With Newly Diagnosed Poor-risk or Relapsed Multiple Myeloma,TERMINATED,INTERVENTIONAL,PHASE2,1.0,ACTUAL,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,OTHER,0,Multiple Myeloma,DRUG,MEDI-551 Maintenance,NA,SINGLE_GROUP,NONE,TREATMENT,ALL,18 Years,,False,"Inclusion Criteria:

1. Previous diagnosis of MM based on standard criteria as defined in Appendix A (Diagnostic Criteria for MM). Diagnostic studies need not be performed within 30 days of registration;
2. Patients must meet one of the disease criteria outlined in either a, b, or c:

   a. Patients with newly diagnosed high-risk MM achieving a partial response (PR) or better at the time of enrollment in response to systemic anti-myeloma therapy, which may include autologous hematopoietic stem cell transplant (HSCT).

   High risk is defined by the presence of any one of the following:

   i. High-risk chromosomal translocations by fluorescent in situ hybridization (FISH): t(4;14), t(14;16), t(14;20), del(17p), del(1p), amplification 1q ii. Myeloma Prognostic Risk Signature 70-Gene expression profiling (MyPRS GEP-70) high-risk signature either at diagnosis or at time of registration for the study iii. Lactate dehydrogenase (LDH) \> 300 U/L at diagnosis iv. Plasma cell leukemia v. Relapse from prior therapy within 12 months

   b. Patients with high-risk MM with at least 1 prior progression in PR or better in response to salvage systemic anti-myeloma therapy at the time of enrollment

   c. Patients with standard risk MM with 1 prior progression within 18 months from an autologous HSCT and in very good partial remission (VGPR) or better in response to salvage systemic anti-myeloma therapy at the time of enrollment.
3. Patients must have a suitable first-degree or second-degree related, Human leukocyte antigen (HLA)-haploidentical or HLA-matched stem cell donor. The donor and recipient must be identical at least one allele of each of the following genetic loci: HLA-A, HLA-B, HLA-Cw, major histocompatibility complex, class II, DR beta 1 (HLA-DRB1), and Major Histocompatibility Complex, Class II, DQ Beta 1 (HLA-DQB1). A minimum match of 5/10 is therefore required, and will be considered sufficient evidence that the donor and recipient share one HLA haplotype;
4. No previous AlloSCT (syngeneic HSCT permissible);
5. Any previous autologous HSCT must have occurred at least 3 months prior to start of conditioning;
6. Eastern Cooperative Oncology Group (ECOG) performance status of 0-2;
7. Life expectancy \> 6 months;
8. Adequate end organ function as measured by:

   1. Left ventricular ejection fraction ≥ 35% or shortening fraction \> 25%
   2. Bilirubin ≤ 3.0 mg/dL (unless due to Gilbert's syndrome or hemolysis), and alanine aminotransferase (ALT) and aspartate transaminase (AST) \< 5x upper limit of normal (ULN)
   3. Forced expiratory volume at one second (FEV1) and forced vital capacity (FVC) \> 40% of predicted
9. Not pregnant or breast-feeding;
10. No uncontrolled infection. Note: Infection is permitted if there is evidence of response to medication;
11. The patient must be able to comprehend and have signed the informed consent.

Exclusion Criteria:

1. Diagnosis of any of the following cancers:

   1. POEMS syndrome (plasma cell dyscrasia with polyneuropathy, organomegaly, endocrinopathy, monoclonal protein (M-protein) and skin changes)
   2. Non-secretory myeloma (no measurable protein on Serum Free Lite Assay)
   3. HTLV1 / HTLV2 positive
   4. Diagnosis of amyloidosis
2. Failed to achieve at least a partial response (PR) to latest therapy;
3. Known history of HIV infection;
4. Systemic infection requiring treatment with antibiotics, antifungal, or antiviral agents within 7 days of registration;
5. History of malignancy other than MM within 5 years of registration, except adequately treated basal or squamous cell skin cancer;
6. History of serious allergy or reaction to any component of the MEDI-551 formulation that would prevent administration;
7. Active hepatitis B as defined by seropositivity for hepatitis B surface antigen or patients with positive hepatitis B core antibody titers.
8. Patients with hepatitis C antibody will be eligible provided that they do not have elevated liver transaminases or other evidence of active hepatitis.",1,United States,Determine the progression free survival of high-risk or relapsed Multiple Myeloma (MM) patients undergoing non-myeloablative bone marrow allogeneic transplantation (NM-AlloSCT) followed by maintenance therapy with MEDI-551.,Progression Free Survival
NCT07434232,Adding Magnesium Sulfate to Combined Pecto-Intercostal & Serratus Anterior Planes Block on Post-operative Analgesia in Patients Undergoing Modified Radical Mastectomy,"Efficacy of Adding Magnesium Sulfate to Combined Pecto-Intercostal & Serratus Anterior Planes Block on Post-operative Analgesia in Patients Undergoing Modified Radical Mastectomy: A Prospective, Randomized Controlled Clinical Trial",NOT_YET_RECRUITING,INTERVENTIONAL,NA,100.0,ESTIMATED,South Egypt Cancer Institute,OTHER,1,Modified Radical Mastectomy,PROCEDURE,combined Pecto-Intercostal- Serratus anterior fascial planes Block,RANDOMIZED,PARALLEL,DOUBLE,TREATMENT,FEMALE,30 Years,75 Years,False,"Inclusion Criteria:

* Female patients aged 30 to 75 years diagnosed with non-metastatic breast cancer and scheduled for modified radical mastectomy.
* ASA, I-III and NYHA, I-II.
* Written informed consent.

Exclusion Criteria:

* ASA physical status \>III and NYHA \>II,
* body mass index \>40 kg/m2,
* pregnant women,
* Patients with organ failure or coagulation disorders.
* Allergy to local anesthetics or magnesium sulfate
* Contraindications as local infection
* History of chronic pain or opioid use .
* Unwilling to participate in the study",0,,"Here, in our study, we intend to compare the analgesic efficacy of magnesium sulfate as an adjuvant to local anesthetics added to the Pecto-Intercostal Fascial Block (PIFB) vs the Serratus Anterior Plane Block (SAPB) in patients undergoing modified radical mastectomy.

Study Endpoints Primary Endpoints: Total intravenous opioid consumption during the first 24 hours following surgery. Secondary Endpoints: Postoperative analgesia, 24 hours after surgery, assessed using the Visual Analog Scale (VAS) and time to first analgesic request.",intravenous opioid consumption
NCT03391206,Bioelectrical Impedance Utilization and Dietary Intake Relation in the Breast Cancer Related Lymphedema,Relationship Between Bioelectrical Impedance Utilization and Dietary Intake in the Analysis of Risk of Lymphedema in Breast Cancer Survivors: A Prospective Cross Sectional Study,COMPLETED,OBSERVATIONAL,,228.0,ACTUAL,Severance Hospital,OTHER,0,Breast Cancer Lymphedemas,DIAGNOSTIC_TEST,Inbody 720,,,,,FEMALE,20 Years,,False,"Inclusion Criteria:

* Breast cancer patients
* 20 years of age or older who survive after surgery and follow-up

Exclusion Criteria:

* Patients with bilateral breast cancer
* Male breast cancer patient
* Patients with a history of previous axillary surgery or radiation
* Recurrent breast cancer subjects
* Those who can not read or understand the written consent of an illiterate or foreigner
* Subjects who did not voluntarily decide to participate in this study or who did not sign a consent form
* The subjects who were judged inappropriate by the researcher to participate in this study",1,South Korea,The purpose of this study was to investigate the clinical role of bioelectrical impedance analysis (BIA) and the relationship between the occurrence of breast cancer related lymphedema (BCRL) and dietary factors in breast cancer survivors who underwent surgical treatments.,Brest cancer related lymphedema
NCT03475433,An Observational Prospective Cohort Study Using an Actigraphy Device.,An Observational Prospective Cohort Study About Quality of Life in Relation to the Physical Activity of Taiwanese Breast and Prostate Cancer Patients.,COMPLETED,OBSERVATIONAL,,40.0,ACTUAL,Taipei Medical University,OTHER,5,Neoplasm of Breast (Disorder)|Carcinoma of Prostate (Disorder),DEVICE,Actigraphy device,,,,,ALL,20 Years,,False,"Inclusion Criteria:

The patient:

* Is an outpatient receiving evaluation, treatment, or follow-up care at either one of the desired hospital locations in Taipei.
* Has been diagnosed with prostate or breast cancer within the past year.
* Is currently receiving treatment for the cancer.
* Is at least 20 years old.
* Is able to understand Mandarin Chinese.
* Gives informed consent to participate.
* scores at least 26 on the Mini-Mental State Examination (MMSE).
* Has a score 45 or higher on the Berg Balance Scale test.

Exclusion Criteria:

The patient:

* Cannot understand the intent of the study.
* scores lower than 26 on the Mini-Mental State Examination (MMSE).
* Is not fit to participate, as believed by their current treating physician.
* Is physical unable to walk.
* Has a score of \<45 on the Berg Balance Scale test.
* Refuses to participate.",2,Taiwan,"This study focuses on whether or not physical activity and sleep quality correlate with the health of prostate and breast cancer patients. The activity data will be acquired using wearable actigraphy devices, which the subjects will wear for the duration of seven days. The sleep quality will be measured using a combination of actigraphy and the mandarin version of the Pittsburgh Sleep Quality Index (PSQI) and the Quality of Life Questionnaire (QLQ). By using this combination, the investigators will not only measure the objective physical activity while the patient is asleep, but also the subjective sleep quality. The questionnaire will also function as control data for the accuracy of the actigraphy device.

This study will recruit approximately 30 breast or prostate cancer patients. The participants will wear a wearable actigraphy device for 7 consecutive days, which will provide accurate and objective movement and sleep data. This data is linked to a unique Identification number (ID), which will be noted in the participant's case report. This case report also contains the participant's information and answers to the questionnaires.",Change will be assessed on the quality of life of breast and prostate cancer patients.|Change will be assessed for the influence of physical activity on the Quality of Life of breast and prostate cancer patients.
NCT01492803,Trial of Probiotics to Lower Microbial Translocation and Immune Activation in HIV-Infected Adolescents,A Randomized Placebo-Controlled Trial of Probiotics to Lower Microbial Translocation and Immune Activation in HIV-Infected Adolescents,WITHDRAWN,INTERVENTIONAL,NA,0.0,ACTUAL,"University of North Carolina, Chapel Hill",OTHER,2,HIV Infection,DIETARY_SUPPLEMENT,Probiotics|Placebo,RANDOMIZED,PARALLEL,TRIPLE,SUPPORTIVE_CARE,ALL,13 Years,24 Years,False,"Inclusion Criteria:

To be considered eligible for enrollment, an individual must meet the criteria listed below.

* Age 13 years and 0 days to 24 years and 364 days at the time of consent
* Confirmed or suspected to have acquired HIV infection at age 10 years or older
* HIV-1 infection as documented by any FDA-approved ELISA test kit and confirmed by Western blot, HIV-1 culture, HIV-1 antigen, HIV-1 DNA, plasma HIV-1 RNA, or a second antibody test by a method other than ELISA at any time prior to pre-entry
* Absolute CD4 T-cell count greater than 350 cells/ul at pre-entry
* Cohort 1 - Not receiving ART and no exposure to ART in the 24 weeks prior to pre-entry: Quantitative HIV-1 plasma RNA (viral load) less than 50,000 copies/ml on two consecutive determinations at least 8 weeks apart in the 24 weeks prior to and including pre-entry
* Cohort 2 - Currently receiving ART and received ART for at least the 24 weeks prior to pre-entry: Quantitative HIV-1 plasma RNA (viral load) less than 400 copies/ml on two consecutive determinations at least 8 weeks apart in the 24 weeks prior to and including pre-entry
* Willingness to refrain from regular use of foods/supplements containing probiotics other than that supplied by the study during the course of study participation

Exclusion Criteria:

To be considered eligible for enrollment, an individual must not meet any of the criteria listed below.

* Known hypersensitivity to probiotics
* Active AIDS-defining condition or acute serious illness
* Cohort 1 - Not receiving ART and no exposure to ART in the 24 weeks prior to pre-entry: Any quantitative HIV-1 plasma RNA (viral load) equal to or greater than 50,000 copies/ml during the 24 weeks prior or at pre-entry.
* Cohort 2 - Currently receiving ART and received ART for at least the 24 weeks prior to pre-entry: Any quantitative HIV-1 plasma RNA (viral load) equal to or greater than 400 copies/ml during the 24 weeks prior or at pre-entry
* Known history of inflammatory bowel disease or similar disorder of the GI tract
* Current treatment with immune-modulating or immune-suppressive therapy
* Active malignancy at pre-entry
* Pregnancy
* Grade 3 or higher clinical or laboratory toxicities at the time of randomization
* Regular use of foods or supplements containing probiotics within the 2 weeks prior to randomization (see Appendix V)
* Concurrent participation in the ATN 061, 071, 081, and/or 101 protocols",0,,This is a randomized placebo-controlled trial to examine if once daily probiotic therapy will lower serum LPS levels and immune activation among HIV-infected youth.,Plasma LPS levels
NCT02512172,A Study of Enhancing Response to MK-3475 in Advanced Colorectal Cancer,A Study of Using Epigenetic Modulators to Enhance Response to MK-3475 in Microsatellite Stable Advanced Colorectal Cancer,COMPLETED,INTERVENTIONAL,PHASE1,27.0,ACTUAL,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,OTHER,2,Colorectal Cancer,DRUG,Oral CC-486|Romidepsin|MK-3475,RANDOMIZED,PARALLEL,QUADRUPLE,TREATMENT,ALL,18 Years,,False,"Inclusion Criteria:

1. Have histologically confirmed microsatellite stable metastatic colorectal cancer and have received at least one line of treatment for metastatic colorectal cancer including fluoropyrimidines, oxaliplatin and/or irinotecan
2. Be willing and able to provide written informed consent/assent for the trial
3. Be 18 years of age on day of signing informed consent
4. Have measurable disease
5. Have biopsiable disease. If biopsy is attempted and unsuccessful (the patient undergoes an invasive procedure), the patient may still be treated
6. Have a performance status of 0 or 1 on the ECOG Performance Scale at study entry
7. Demonstrate adequate organ function
8. Female subject of childbearing potential must have a negative urine or serum pregnancy test within 72 hours prior to receiving the first dose of study medication
9. Female subjects of childbearing potential must be willing to use 2 methods of birth control or be surgically sterile, or abstain from heterosexual activity for the course of the study through 120 days after the last dose of study medication
10. Male subjects must agree to use an adequate method of contraception starting with the first dose of study therapy through 120 days after the last dose of study therapy
11. In patients with liver metastases, there should be \<50% involvement of the liver.
12. Patients must have had \< 3 prior therapies in the metastatic setting.

Exclusion Criteria:

1. Patients whose tumors have progressed at the first restaging during first line therapy
2. Is currently participating in or has participated in a study of an investigational agent or using an investigational device within 4 weeks of the first dose of treatment
3. Has a diagnosis of immunodeficiency or is receiving systemic steroid therapy or any other form of immunosuppressive therapy within 7 days prior to the first dose of trial treatment
4. Has had a prior monoclonal antibody within 4 weeks prior to study Day 1 or who has not recovered from adverse events due to agents administered more than 4 weeks earlier
5. Has had prior chemotherapy, targeted small molecule therapy, or radiation therapy within 4 weeks (6 weeks for nitrosureas or mitomycin C) prior to study Day 1 or who has not recovered from adverse events due to a previously administered agent
6. Has a known additional malignancy that is progressing or requires active treatment
7. Has known central nervous system (CNS) metastases and/or carcinomatous meningitis
8. Has an active autoimmune disease requiring systemic treatment within the past 3 months or a documented history of clinically severe autoimmune disease, or a syndrome that requires systemic steroids or immunosuppressive agents.
9. Has evidence of interstitial lung disease or active, non-infectious pneumonitis.
10. Has an active infection requiring systemic therapy.
11. Any clinical or radiological ascites or pleural effusions
12. Has a history or current evidence of any condition, therapy, or laboratory abnormality that might confound the results of the trial, interfere with the subject's participation for the full duration of the trial, or is not in the best interest of the subject to participate, in the opinion of the treating investigator
13. Has known psychiatric or substance abuse disorders that would interfere with cooperation with the requirements of the trial
14. Is pregnant or breastfeeding, or expecting to conceive or father children within the projected duration of the trial
15. Has received prior therapy with an anti-PD-1, anti-PD-L1, anti-PD-L2, anti-CD137, anti-OX-40, anti-CD40, or anti-Cytotoxic T-lymphocyte-associated antigen-4 (CTLA-4) antibody (including ipilimumab or any other antibody or drug specifically targeting T-cell co-stimulation or checkpoint pathways). Prior therapies with other immunomodulatory agents must be reviewed by the PI and may be cause for ineligibility
16. Has a known history of Human Immunodeficiency Virus (HIV) (HIV 1/2 antibodies)
17. Has known active Hepatitis B or Hepatitis C
18. Has received a live vaccine within 30 days prior to the first dose of trial treatment
19. Any known cardiac abnormalities",1,United States,This study is being done to test the safety and effectiveness of the combination of intravenous (IV) romidepsin and/or oral 5-azacitidine with IV MK-3475 in people with microsatellite stable (MSS) advanced colorectal cancer.,Degree of change in tumor infiltrating lymphocytes|Number of Patients Experiencing a DLT (dose-limiting toxicity) as defined by NCI CTCAE v4.0
